电影名称,评分,链接,详情
肖申克的救赎,9.7,https://movie.douban.com/subject/1292052/,导演: 弗兰克·德拉邦特 Frank Darabont   主演: 蒂姆·罗宾斯 Tim Robbins /...1994 / 美国 / 犯罪 剧情
霸王别姬,9.6,https://movie.douban.com/subject/1291546/,导演: 陈凯歌 Kaige Chen   主演: 张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...1993 / 中国大陆 中国香港 / 剧情 爱情 同性
泰坦尼克号,9.5,https://movie.douban.com/subject/1292722/,导演: 詹姆斯·卡梅隆 James Cameron   主演: 莱昂纳多·迪卡普里奥 Leonardo...1997 / 美国 墨西哥 / 剧情 爱情 灾难
阿甘正传,9.5,https://movie.douban.com/subject/1292720/,导演: 罗伯特·泽米吉斯 Robert Zemeckis   主演: 汤姆·汉克斯 Tom Hanks / ...1994 / 美国 / 剧情 爱情
千与千寻,9.4,https://movie.douban.com/subject/1291561/,导演: 宫崎骏 Hayao Miyazaki   主演: 柊瑠美 Rumi Hîragi / 入野自由 Miy...2001 / 日本 / 剧情 动画 奇幻
美丽人生,9.5,https://movie.douban.com/subject/1292063/,导演: 罗伯托·贝尼尼 Roberto Benigni   主演: 罗伯托·贝尼尼 Roberto Beni...1997 / 意大利 / 剧情 喜剧 爱情 战争
星际穿越,9.4,https://movie.douban.com/subject/1889243/,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 马修·麦康纳 Matthew Mc...2014 / 美国 英国 加拿大 / 剧情 科幻 冒险
这个杀手不太冷,9.4,https://movie.douban.com/subject/1295644/,导演: 吕克·贝松 Luc Besson   主演: 让·雷诺 Jean Reno / 娜塔莉·波特曼 ...1994 / 法国 美国 / 剧情 动作 犯罪
盗梦空间,9.4,https://movie.douban.com/subject/3541415/,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 莱昂纳多·迪卡普里奥 Le...2010 / 美国 英国 / 剧情 科幻 悬疑 冒险
楚门的世界,9.4,https://movie.douban.com/subject/1292064/,导演: 彼得·威尔 Peter Weir   主演: 金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...1998 / 美国 / 剧情 科幻
辛德勒的名单,9.5,https://movie.douban.com/subject/1295124/,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 连姆·尼森 Liam Neeson...1993 / 美国 / 剧情 历史 战争
忠犬八公的故事,9.4,https://movie.douban.com/subject/3011091/,导演: 莱塞·霍尔斯道姆 Lasse Hallström   主演: 理查·基尔 Richard Ger...2009 / 美国 英国 / 剧情
海上钢琴师,9.3,https://movie.douban.com/subject/1292001/,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 蒂姆·罗斯 Tim Roth / ...1998 / 意大利 / 剧情 音乐
疯狂动物城,9.2,https://movie.douban.com/subject/25662329/,导演: 拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore   主演: 金妮弗·...2016 / 美国 / 喜剧 动画 冒险
三傻大闹宝莱坞,9.2,https://movie.douban.com/subject/3793023/,导演: 拉库马·希拉尼 Rajkumar Hirani   主演: 阿米尔·汗 Aamir Khan / 卡...2009 / 印度 / 剧情 喜剧 爱情 歌舞
机器人总动员,9.3,https://movie.douban.com/subject/2131459/,导演: 安德鲁·斯坦顿 Andrew Stanton   主演: 本·贝尔特 Ben Burtt / 艾丽...2008 / 美国 / 科幻 动画 冒险
放牛班的春天,9.3,https://movie.douban.com/subject/1291549/,导演: 克里斯托夫·巴拉蒂 Christophe Barratier   主演: 让-巴蒂斯特·莫尼...2004 / 法国 瑞士 德国 / 剧情 音乐
无间道,9.3,https://movie.douban.com/subject/1307914/,导演: 刘伟强 / 麦兆辉   主演: 刘德华 Andy Lau / 梁朝伟 Tony Leung Chiu W...2002 / 中国香港 / 剧情 犯罪 惊悚
控方证人,9.6,https://movie.douban.com/subject/1296141/,导演: 比利·怀尔德 Billy Wilder   主演: 泰隆·鲍华 Tyrone Power / 玛琳·...1957 / 美国 / 剧情 犯罪 悬疑 惊悚
大话西游之大圣娶亲,9.2,https://movie.douban.com/subject/1292213/,导演: 刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...1995 / 中国香港 中国大陆 / 喜剧 爱情 奇幻 古装
熔炉,9.3,https://movie.douban.com/subject/5912992/,导演: 黄东赫 Dong-hyuk Hwang   主演: 孔侑 Yoo Gong / 郑有美 Yu-mi Jung /...2011 / 韩国 / 剧情
触不可及,9.3,https://movie.douban.com/subject/6786002/,导演: 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano   主...2011 / 法国 / 剧情 喜剧
寻梦环游记,9.1,https://movie.douban.com/subject/20495023/,导演: 李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina   主演: ...2017 / 美国 / 喜剧 动画 奇幻 音乐
教父,9.3,https://movie.douban.com/subject/1291841/,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 马龙·白兰度 M...1972 / 美国 / 剧情 犯罪
当幸福来敲门,9.1,https://movie.douban.com/subject/1849031/,导演: 加布里尔·穆奇诺 Gabriele Muccino   主演: 威尔·史密斯 Will Smith ...2006 / 美国 / 剧情 传记 家庭
末代皇帝,9.3,https://movie.douban.com/subject/1293172/,导演: 贝纳尔多·贝托鲁奇 Bernardo Bertolucci   主演: 尊龙 John Lone / 陈...1987 / 英国 意大利 中国大陆 法国 / 剧情 传记 历史
哈利·波特与魔法石,9.2,https://movie.douban.com/subject/1295038/,导演: Chris Columbus   主演: Daniel Radcliffe / Emma Watson / Rupert Grint2001 / 美国 英国 / 奇幻 冒险
龙猫,9.2,https://movie.douban.com/subject/1291560/,导演: 宫崎骏 Hayao Miyazaki   主演: 日高法子 Noriko Hidaka / 坂本千夏 Ch...1988 / 日本 / 动画 奇幻 冒险
活着,9.3,https://movie.douban.com/subject/1292365/,导演: 张艺谋 Yimou Zhang   主演: 葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang1994 / 中国大陆 中国香港 / 剧情 历史 家庭
怦然心动,9.1,https://movie.douban.com/subject/3319755/,导演: 罗伯·莱纳 Rob Reiner   主演: 玛德琳·卡罗尔 Madeline Carroll / 卡...2010 / 美国 / 剧情 喜剧 爱情
蝙蝠侠：黑暗骑士,9.2,https://movie.douban.com/subject/1851857/,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 克里斯蒂安·贝尔 Christ...2008 / 美国 英国 / 剧情 动作 科幻 犯罪 惊悚
指环王3：王者无敌,9.3,https://movie.douban.com/subject/1291552/,导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...2003 / 美国 新西兰 / 剧情 动作 奇幻 冒险
我不是药神,9.0,https://movie.douban.com/subject/26752088/,导演: 文牧野 Muye Wen   主演: 徐峥 Zheng Xu / 王传君 Chuanjun Wang / 周...2018 / 中国大陆 / 剧情 喜剧
乱世佳人,9.3,https://movie.douban.com/subject/1300267/,导演: 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor   主演: 费...1939 / 美国 / 剧情 历史 爱情 战争
